name,calories,protein,fat,sodium,fiber,carbs,sugars,potassium,vitamins,rating
100% Bran,70,4,1,130,10,5,6,280,3.584321758,68.402973
Apple Jacks,110,2,0,125,1,11,14,30,5.064148823,33.174094
Cap'n'Crunch,120,1,2,220,0,12,12,35,3.022167516,18.042851
Cocoa Puffs,110,1,1,180,0,12,13,55,19.29149414,22.736446
Cheerios,110,6,2,290,2,17,1,105,23.35564022,50.764999
Cinnamon Toast Crunch,120,1,3,210,0,13,9,45,8.383293798,19.823573
Corn Flakes,100,2,0,290,1,21,2,35,20.07341342,45.863324
Froot Loops,110,2,1,125,1,11,13,30,5.098102028,32.207582
Frosted Flakes,110,1,0,200,1,14,11,25,1.370329061,31.435973
Frosted Mini-Wheats,100,3,0,0,3,14,7,100,10.28116895,58.345141
Fruity Pebbles,110,1,1,135,0,13,12,25,14.30470532,28.025765
Honey Nut Cheerios,110,3,1,250,1.5,11.5,10,90,10.01293806,31.072217
Rice Krispies,110,2,0,290,0,22,3,35,12.61184594,40.560159
Special K,110,6,0,230,1,16,3,55,7.694463874,53.131324
Trix,110,1,1,140,0,13,12,25,0.429040349,27.753301
Wheaties,100,3,1,200,3,17,3,110,6.465360315,51.592193
Lucky Charms,110,2,1,180,0,12,12,55,2.862841956,26.734515
Multi-Grain Cheerios,100,2,1,220,2,15,6,90,15.11068825,40.105965
Puffed Wheat,50,2,0,0,1,10,0,50,7.013022352,63.005645
Quaker Oatmeal,100,5,2,0,2.7,-1,-1,110,9.116593502,50.828392
Raisin Bran,120,3,1,210,5,14,12,240,3.942934355,39.259197